chromosome	start	stop	shell	core	TE_cov	low_depth	SNPs	recombRate	TEmatrixINS	TEmatrixABS	syntenic	Nonsyntenic	ShellRatio	NonsyntenicRatio
Bd4	12840000	15408000	125	94	0.1029891	0.4416737	0.0220199	2.803738318	1.01E-05	0.0095794	84	199	1.329787234	2.369047619
Bd4	15408000	17976000	72	101	0.1909583	0.2471632	0.0192029	0.42834891	1.64E-05	0.0139879	115	125	0.712871287	1.086956522
Bd4	17976000	20544000	51	42	0.4652434	0.184067	0.018609	NA	1.36E-05	0.0314361	47	69	1.214285714	1.468085106
Bd4	20544000	23112000	40	53	0.3934178	0.2239875	0.0149167	NA	1.44E-05	0.0150607	58	68	0.754716981	1.172413793
Bd4	23112000	25680000	44	73	0.238044	0.3257368	0.0168703	0.19470405	7.00E-06	0.022528	69	92	0.602739726	1.333333333
Bd4	25680000	28248000	72	47	0.2419587	0.3708228	0.0216877	0.31152648	1.44E-05	0.0271207	61	109	1.531914894	1.786885246
Bd4	28248000	30816000	100	103	0.1396421	0.2879716	0.0224716	3.465732087	1.56E-05	0.0186963	104	161	0.970873786	1.548076923
Bd4	30816000	33384000	82	150	0.1403836	0.1840389	0.0196678	3.660436137	7.40E-06	0.0189112	153	152	0.546666667	0.993464052
Bd4	33384000	35952000	61	128	0.1318512	0.2155335	0.0195514	2.647975078	5.50E-06	0.0180487	172	116	0.4765625	0.674418605
Bd4	35952000	38520000	57	129	0.1609038	0.1419926	0.0192181	3.193146417	6.20E-06	0.0104136	215	71	0.441860465	0.330232558
Bd4	38520000	41088000	84	179	0.1034868	0.1265284	0.0167262	NA	6.60E-06	0.0093135	237	124	0.469273743	0.523206751
Bd4	41088000	43656000	70	183	0.0427983	0.1714272	0.0151558	5.529595016	5.80E-06	0.0043945	254	123	0.382513661	0.484251969
Bd4	43656000	46224000	78	211	0.0401382	0.1279677	0.0149942	7.281931464	7.40E-06	0.0071277	234	168	0.369668246	0.717948718
Bd4	46224000	48772488	118	194	0.0530091	0.3516093	0.0189402	10.2806056	9.00E-06	0.0213746	237	198	0.608247423	0.835443038
Bd2	0	2474900	132	175	0.055083	0.3651917	0.0190024	2.626368742	8.50E-06	0.0138381	241	161	0.754285714	0.668049793
Bd2	2474900	4949800	75	168	0.0308764	0.1663021	0.0166532	10.86912603	7.30E-06	0.0084327	249	110	0.446428571	0.441767068
Bd2	4949800	7424700	68	156	0.0905313	0.1269203	0.0179405	5.535577195	6.50E-06	0.0039363	212	112	0.435897436	0.528301887
Bd2	7424700	9899600	74	157	0.0821387	0.1889583	0.0184771	2.060689321	5.30E-06	0.0123197	182	127	0.47133758	0.697802198
Bd2	9899600	12374500	67	145	0.1345788	0.1539311	0.0205257	1.212170189	4.40E-06	0.0128999	157	111	0.462068966	0.707006369
Bd2	12374500	14849400	77	161	0.1286383	0.1642491	0.0176585	5.980039598	5.30E-06	0.0096323	190	139	0.47826087	0.731578947
Bd2	14849400	17324300	72	157	0.1093042	0.1935157	0.0172876	4.323407006	5.70E-06	0.0115609	205	128	0.458598726	0.624390244
Bd2	17324300	19799200	82	132	0.1998982	0.122569	0.0159966	NA	7.30E-06	0.0121177	178	115	0.621212121	0.646067416
Bd2	19799200	22274100	67	123	0.180139	0.0868726	0.0170706	1.131358843	6.10E-06	0.0076835	183	87	0.544715447	0.475409836
Bd2	22274100	24749000	58	102	0.2331096	0.1150976	0.018012	NA	7.30E-06	0.0094901	130	95	0.568627451	0.730769231
Bd2	24749000	27223900	71	83	0.2658944	0.137753	0.0199147	0.484868075	8.90E-06	0.0068718	122	84	0.855421687	0.68852459
Bd2	27223900	29698800	20	22	0.5626248	0.3392759	0.0202057	NA	1.86E-05	0.0508586	30	34	0.909090909	1.133333333
Bd2	29698800	32173700	42	60	0.4197705	0.1845691	0.0229476	NA	1.13E-05	0.0171158	51	91	0.7	1.784313725
Bd2	32173700	34648600	60	100	0.2266993	0.1247089	0.0198283	1.292981535	6.10E-06	0.0232979	130	101	0.6	0.776923077
Bd2	34648600	37123500	79	134	0.0974476	0.3487026	0.0227674	5.33354883	1.21E-05	0.0160031	120	141	0.589552239	1.175
Bd2	37123500	39598400	97	168	0.0855404	0.290975	0.0228797	3.313265182	9.30E-06	0.0154099	143	202	0.577380952	1.412587413
Bd2	39598400	42073300	50	128	0.1945335	0.2943565	0.0192072	0.202028365	1.21E-05	0.0220183	131	106	0.390625	0.809160305
Bd2	42073300	44548200	54	134	0.0929399	0.1182302	0.0181898	3.717321912	4.80E-06	0.007014	170	112	0.402985075	0.658823529
Bd2	44548200	47023100	57	147	0.1181393	0.0838103	0.0171922	NA	4.00E-06	0.0095996	204	75	0.387755102	0.367647059
Bd2	47023100	49498000	49	196	0.0861267	0.1210598	0.0164451	3.919350277	5.30E-06	0.0103645	246	79	0.25	0.321138211
Bd2	49498000	51972900	59	219	0.043184	0.1163526	0.0154026	4.929492101	2.40E-06	0.0007988	294	83	0.269406393	0.282312925
Bd2	51972900	54447800	61	226	0.0314397	0.1252087	0.0145574	7.757889208	4.40E-06	0.0010376	306	79	0.269911504	0.258169935
Bd2	54447800	56922700	62	212	0.0344862	0.1073518	0.0143262	12.00048487	4.00E-06	0.0026466	283	95	0.29245283	0.335689046
Bd2	56922700	59384932	101	216	0.0219662	0.2550515	0.0163872	7.188599612	1.02E-05	0.0024031	264	194	0.467592593	0.734848485
Bd5	0	2598000	79	106	0.1260893	0.3803329	0.0203911	7.082371055	1.08E-05	0.0221289	79	168	0.745283019	2.126582278
Bd5	5196000	7794000	38	45	0.4445085	0.3507941	0.0231436	0.153964588	1.31E-05	0.0443965	27	82	0.844444444	3.037037037
Bd5	7794000	10392000	44	49	0.4026998	0.4619715	0.0252075	0.115473441	1.58E-05	0.0375196	42	74	0.897959184	1.761904762
Bd5	10392000	12990000	65	84	0.2197059	0.1677895	0.0205135	0.192455735	1.12E-05	0.0103768	116	97	0.773809524	0.836206897
Bd5	12990000	15588000	74	138	0.1734915	0.2058791	0.0200693	2.309468822	1.66E-05	0.0194885	179	113	0.536231884	0.631284916
Bd5	15588000	18186000	58	178	0.135306	0.1592232	0.0179731	0.538876059	6.90E-06	0.0042063	217	110	0.325842697	0.506912442
Bd5	18186000	20784000	76	172	0.122035	0.1659719	0.0176447	5.119322556	6.50E-06	0.0134838	223	106	0.441860465	0.475336323
Bd5	20784000	23382000	56	186	0.0827433	0.1407548	0.0167868	6.889915319	5.40E-06	0.0064038	257	90	0.301075269	0.350194553
Bd5	23382000	25980000	96	227	0.0243345	0.2505312	0.0187025	12.04772902	7.70E-06	0.0117071	291	170	0.422907489	0.58419244
Bd5	25980000	28563423	105	188	0.0447569	0.2517489	0.0150657	16.76070856	7.40E-06	0.0050921	263	163	0.558510638	0.619771863
Bd3	0	2499000	90	222	0.0208327	0.2790404	0.0182637	8.483393357	9.60E-06	0.0070664	241	181	0.405405405	0.751037344
Bd3	2499000	4998000	102	184	0.034527	0.2549992	0.0200568	12.36494598	9.20E-06	0.0161905	226	152	0.554347826	0.672566372
Bd3	4998000	7497000	68	175	0.052898	0.1971148	0.0169528	7.362945178	6.00E-06	0.0151044	196	122	0.388571429	0.62244898
Bd3	7497000	9996000	73	143	0.1408043	0.1567403	0.0204242	2.040816327	7.60E-06	0.0143509	156	127	0.51048951	0.814102564
Bd3	9996000	12495000	46	108	0.3166471	0.2448427	0.0202169	1.56062425	1.12E-05	0.0167443	137	80	0.425925926	0.583941606
Bd3	12495000	14994000	84	175	0.0802977	0.2607511	0.0187219	5.362144858	9.60E-06	0.017439	193	152	0.48	0.787564767
Bd3	14994000	17493000	113	100	0.1515382	0.2524094	0.0220348	0.680272109	7.60E-06	0.0226146	115	167	1.13	1.452173913
Bd3	17493000	19992000	75	109	0.145401	0.2524662	0.0206455	2.761104442	1.00E-05	0.0233525	127	125	0.688073394	0.984251969
Bd3	19992000	22491000	61	122	0.1865766	0.2400828	0.0211933	1.00040016	7.60E-06	0.0151725	120	119	0.5	0.991666667
Bd3	22491000	24990000	45	30	0.5000172	0.3366971	0.0269184	NA	1.20E-05	0.0212485	26	65	1.5	2.5
Bd3	24990000	27489000	36	23	0.4410224	0.3942985	0.022551	NA	1.32E-05	0.0183509	19	56	1.565217391	2.947368421
Bd3	27489000	29988000	79	103	0.2017947	0.2062213	0.0208944	2.040816327	6.40E-06	0.0128876	163	97	0.766990291	0.595092025
Bd3	29988000	32487000	62	106	0.2189552	0.1473501	0.0188199	NA	3.60E-06	0.0104514	138	93	0.58490566	0.673913043
Bd3	32487000	34986000	56	106	0.2698087	0.1863958	0.0231052	0.360144058	1.12E-05	0.0113693	151	83	0.528301887	0.549668874
Bd3	34986000	37485000	64	152	0.1146859	0.1822133	0.0182381	4.081632653	7.60E-06	0.0132317	193	112	0.421052632	0.580310881
Bd3	37485000	39984000	61	138	0.1737879	0.1745142	0.0188047	4.041616647	1.04E-05	0.0148279	174	112	0.442028986	0.643678161
Bd3	39984000	42483000	72	166	0.0895566	0.1251685	0.0168591	4.441776711	5.20E-06	0.0177607	229	103	0.43373494	0.449781659
Bd3	42483000	44982000	73	209	0.073904	0.1333994	0.0148375	1.520608243	4.40E-06	0.0052389	267	113	0.349282297	0.423220974
Bd3	44982000	47481000	53	118	0.1758748	0.1682457	0.0189668	2.200880352	8.80E-06	0.0162593	156	87	0.449152542	0.557692308
Bd3	47481000	49980000	56	212	0.0602409	0.184908	0.0181969	6.522609044	4.00E-06	0.0033605	253	102	0.264150943	0.403162055
Bd3	49980000	52479000	59	185	0.0569632	0.1923169	0.0188643	7.803121248	8.80E-06	0.0109028	262	68	0.318918919	0.259541985
Bd3	52479000	54978000	48	209	0.0358639	0.0943653	0.0143741	9.283713485	2.40E-06	0.0056663	282	74	0.229665072	0.262411348
Bd3	54978000	57477000	67	215	0.0423529	0.130549	0.0147675	2.881152461	3.60E-06	0.0066907	264	119	0.311627907	0.450757576
Bd3	57477000	59935730	61	202	0.0802296	0.2201974	0.0155861	13.09619194	7.70E-06	0.0089827	249	128	0.301980198	0.514056225
